Exp_Vac,Exp_Unv,Inf_Vac,Inf_Unv,DailyVE
39991,59858,9,142,0.08838834764831838
39982,59721,9,137,0.08943440000783758
39974,59594,8,127,0.09046835805696819
39967,59464,7,130,0.09149063183892496
39958,59318,9,146,0.09250160873761935
39950,59164,8,154,0.09350165519288688
39939,59031,11,133,0.0944911182523068
39925,58882,14,149,0.09547032697824674
39912,58745,13,137,0.09643959372630734
39899,58597,13,148,0.09739921530924751
39886,58455,13,142,0.09834947405868039
39876,58301,10,154,0.0992906387953111
39866,58167,10,134,0.10022296571715925
39854,58010,12,157,0.10114669921408578
39845,57838,9,172,0.10206207261596577
39828,57692,17,146,0.10296930888098912
39819,57545,9,147,0.10386862122985192
39812,57409,7,136,0.10476021373094077
39803,57262,9,147,0.1056442818410647
39789,57132,14,130,0.10652101290579329
39776,56985,13,147,0.10739058662302803
39764,56861,12,124,0.10825317547305484
39758,56730,6,131,0.10910894511799626
39751,56593,7,137,0.10995805477328086
39744,56458,7,135,0.11080065755348972
39733,56318,11,140,0.1116369007947086
39725,56184,8,134,0.11246692635530486
39716,56024,9,160,0.11329087089687066
39701,55901,15,123,0.11410886614690957
39693,55773,8,128,0.11492103914468936
39685,55632,8,141,0.11572751247156884
39676,55504,9,128,0.11652840446697552
39666,55378,10,126,0.11732382943111323
39653,55243,13,135,0.11811389781538355
39636,55118,17,125,0.11889871640141784
39621,54995,15,123,0.1196783884695422
39608,54887,13,108,0.12045301395742906
39596,54768,12,119,0.12122268960962078
39588,54649,8,119,0.1219875091185667
39580,54523,8,126,0.12274756325774573
39567,54407,13,116,0.123502940007419
39552,54287,15,120,0.12425372467350043
39541,54154,11,133,0.125
39529,54022,12,132,0.12574184627546187
39514,53896,15,126,0.12647934143378428
39499,53775,15,121,0.1272125611497768
39486,53668,13,107,0.12794157892978963
39476,53540,10,128,0.12866646619772218
39461,53423,15,117,0.1293872923766913
39451,53305,10,118,0.13010412496663346
39442,53178,9,127,0.130817029618071
39430,53063,12,115,0.13152607020228774
39417,52954,13,109,0.13223130887811346
39402,52844,15,110,0.13293280615551958
39390,52737,12,107,0.13363062095621212
39380,52624,10,113,0.1343248106713899
39367,52522,13,102,0.13501543121683038
39355,52406,12,116,0.13570253708545246
39339,52306,16,100,0.1363861813974952
39323,52195,16,111,0.1370664159484459
39310,52093,13,102,0.13774329125483487
39289,51980,21,113,0.13841685659801767
39275,51879,14,101,0.13908716006604652
39267,51791,8,88,0.13975424859373667
39246,51677,21,114,0.14041816800101714
39231,51569,15,108,0.14107896302965872
39220,51455,11,114,0.14173667737846007
39208,51336,12,119,0.1423913537369723
39196,51222,12,114,0.14304303381783237
39177,51117,19,105,0.14369175838777765
39166,51023,11,94,0.1443375672974066
39153,50911,13,112,0.14498049950974504
39135,50804,18,107,0.14562059312767942
39114,50693,21,111,0.14625788542030485
39100,50583,14,110,0.14689241284825083
39088,50461,12,122,0.14752421108802066
39070,50330,18,131,0.14815331505540033
39050,50234,20,96,0.14877975892797593
39039,50126,11,108,0.14940357616679922
39024,50008,15,118,0.15002479953724468
39013,49908,11,100,0.15064346112909255
39000,49799,13,109,0.1512595923758697
38987,49683,13,116,0.15187322407348877
